LINE, REF, QTY, EPCCS TYP,EPCCS PN,MFG@PN, DESCRIPTION, NOTES, COST EA, LINE COST,BIN
,,,,,,PVsw Plugs,,,TOTAL,
,,,,,,3/16/18 (18074^0),,,=SUM(J5:J100),
,,,,,,,,,,
1,J1,=2/16,J-HDR3.5mm,PST1.0/16-3.5,PHOENIX_CONTACT@1945232,CONN HEADER STRIP PIN 3.5MM 16POS 1 SET OF 2,(6 2),1.13,=C5*I5,SHLD
2,J2,=1*4/36,J-HDR2.54mm,PBC36SAAN,SULLINS@PBC36SAAN,HEADER MALE BRKWAY .1IN AA 36POS 1 SET OF 4,(1 4),2.091,=C6*I6,SHLD
3,,1,J-HDR3.5mm,PT1.5/2-PVH-3.5,PHOENIX CONTACT@1984015,CONN PLUG STRIP 3.5MM 2POS 1 SET OF 2POS,(2),0.42,=C7*I7,SHLD
,,,,,,,,,,
,,,,,,NOTES,,,,
,,,,,,(1) Alternate part with same or better rating allowed,,,,
,,,,,,(2) for x in (2 4 6 8): PST 1.0/x-3.5 mates with PT 1.5/x-PVH-3.5,,,,
,,,,,,(4) Cut 36 pin to needed size,,,,
,,,,,,(6) Cut 16 pin to needed size,,,,
